Metric Sizes,Decimal Equivalent (Inches),Flute Length (mm),Overall Length (mm)
0.3mm,0.0118,3mm,19mm
0.35mm,0.0138,3mm,19mm
0.4mm,0.0157,5mm,20mm
0.45mm,0.0177,5mm,20mm
0.5mm,0.0197,5mm,22mm
0.55mm,0.0217,6mm,24mm
0.6mm,0.0236,8mm,24mm
0.65mm,0.0256,10mm,26mm
0.7mm,0.0276,10mm,28mm
0.75mm,0.0295,13mm,28mm
0.8mm,0.0315,13mm,30mm
0.85mm,0.0335,16mm,30mm
0.9mm,0.0354,16mm,32mm
0.95mm,0.0374,16mm,32mm
1mm,0.0394,17mm,34mm
1.05mm,0.0413,17mm,34mm
1.1mm,0.0433,19mm,36mm
1.15mm,0.0453,19mm,36mm
1.2mm,0.0472,22mm,38mm
1.25mm,0.0492,22mm,38mm
1.3mm,0.0512,22mm,38mm
1.35mm,0.0531,22mm,40mm
1.4mm,0.0551,22mm,40mm
1.45mm,0.0571,22mm,40mm
1.5mm,0.0591,22mm,40mm
1.55mm,0.061,22mm,43mm
1.6mm,0.063,22mm,43mm
1.65mm,0.065,25mm,43mm
1.7mm,0.0669,25mm,43mm
1.75mm,0.0689,25mm,46mm
1.8mm,0.0709,25mm,46mm
1.85mm,0.0728,25mm,46mm
1.9mm,0.0748,25mm,46mm
1.95mm,0.0768,25mm,49mm
2mm,0.0787,25mm,49mm
2.05mm,0.0807,29mm,49mm
2.1mm,0.0827,29mm,49mm
2.15mm,0.0846,29mm,53mm
2.2mm,0.0866,32mm,53mm
2.25mm,0.0886,32mm,53mm
2.3mm,0.0906,32mm,53mm
2.35mm,0.0925,32mm,53mm
2.4mm,0.0945,35mm,57mm
2.45mm,0.0965,35mm,57mm
2.5mm,0.0984,35mm,57mm
2.55mm,0.1003,35mm,57mm
2.6mm,0.1024,37mm,57mm
2.65mm,0.1043,37mm,57mm
2.7mm,0.1063,37mm,61mm
2.75mm,0.1083,37mm,61mm
2.8mm,0.1102,38mm,61mm
2.85mm,0.1122,38mm,61mm
2.9mm,0.1142,41mm,61mm
2.95mm,0.1161,41mm,61mm
3mm,0.1181,41mm,61mm
3.05mm,0.1201,41mm,65mm
3.1mm,0.122,41mm,65mm
3.15mm,0.124,41mm,65mm
3.2mm,0.126,41mm,65mm
3.25mm,0.128,41mm,65mm
3.3mm,0.1299,44mm,65mm
3.35mm,0.1319,44mm,70mm
3.4mm,0.1339,44mm,70mm
3.45mm,0.1358,44mm,70mm
3.5mm,0.1378,44mm,70mm
3.55mm,0.1397,48mm,70mm
3.6mm,0.1417,48mm,70mm
3.65mm,0.1437,48mm,70mm
3.7mm,0.1457,48mm,70mm
3.75mm,0.1476,48mm,75mm
3.8mm,0.1496,48mm,75mm
3.85mm,0.1516,51mm,75mm
3.9mm,0.1535,51mm,75mm
3.95mm,0.1555,51mm,75mm
4mm,0.1575,54mm,75mm
4.05mm,0.1594,54mm,75mm
4.1mm,0.1614,54mm,75mm
4.2mm,0.1654,54mm,75mm
4.25mm,0.1673,54mm,80mm
4.3mm,0.1693,54mm,80mm
4.35mm,0.1713,54mm,80mm
4.4mm,0.1732,56mm,80mm
4.5mm,0.1772,56mm,80mm
4.6mm,0.1811,56mm,80mm
4.65mm,0.1831,56mm,80mm
4.7mm,0.185,59mm,80mm
4.75mm,0.187,59mm,86mm
4.8mm,0.189,59mm,86mm
4.85mm,0.1909,62mm,86mm
4.9mm,0.1929,62mm,86mm
5mm,0.1969,62mm,86mm
5.1mm,0.2008,62mm,86mm
5.2mm,0.2047,64mm,86mm
5.25mm,0.2067,64mm,86mm
5.3mm,0.2087,64mm,86mm
5.4mm,0.2126,64mm,93mm
5.5mm,0.2165,64mm,93mm
5.6mm,0.2205,67mm,93mm
5.7mm,0.2244,67mm,93mm
5.75mm,0.2264,67mm,93mm
5.8mm,0.2283,67mm,93mm
5.9mm,0.2323,67mm,93mm
6mm,0.2362,70mm,93mm
6.1mm,0.2402,70mm,101mm
6.2mm,0.2441,70mm,101mm
6.25mm,0.2461,70mm,101mm
6.3mm,0.248,70mm,101mm
6.4mm,0.252,73mm,101mm
6.5mm,0.2559,73mm,101mm
6.6mm,0.2598,73mm,101mm
6.7mm,0.2638,73mm,101mm
6.75mm,0.2657,73mm,109mm
6.8mm,0.2677,73mm,109mm
6.9mm,0.2717,73mm,109mm
7mm,0.2756,73mm,109mm
7.1mm,0.2795,75mm,109mm
7.2mm,0.2835,75mm,109mm
7.25mm,0.2854,75mm,109mm
7.3mm,0.2874,75mm,109mm
7.4mm,0.2913,78mm,109mm
7.5mm,0.2953,78mm,109mm
7.6mm,0.2992,78mm,117mm
7.7mm,0.3031,81mm,117mm
7.75mm,0.3051,81mm,117mm
7.8mm,0.3071,81mm,117mm
7.9mm,0.311,81mm,117mm
8mm,0.315,81mm,117mm
8.1mm,0.3189,84mm,117mm
8.2mm,0.3228,84mm,117mm
8.25mm,0.3248,84mm,117mm
8.3mm,0.3268,84mm,117mm
8.4mm,0.3307,87mm,117mm
8.5mm,0.3346,87mm,117mm
8.6mm,0.3386,87mm,125mm
8.7mm,0.3425,87mm,125mm
8.75mm,0.3445,87mm,125mm
8.8mm,0.3465,89mm,125mm
8.9mm,0.3504,89mm,125mm
9mm,0.3543,89mm,125mm
9.1mm,0.3583,89mm,125mm
9.2mm,0.3622,92mm,125mm
9.25mm,0.3642,92mm,125mm
9.3mm,0.3661,92mm,125mm
9.4mm,0.3701,92mm,125mm
9.5mm,0.374,92mm,125mm
9.6mm,0.378,95mm,133mm
9.7mm,0.3819,95mm,133mm
9.75mm,0.3839,95mm,133mm
9.8mm,0.3858,95mm,133mm
9.9mm,0.3898,95mm,133mm
10mm,0.3937,95mm,133mm
10.2mm,0.4016,98mm,133mm
10.25mm,0.4035,98mm,133mm
10.5mm,0.4134,98mm,133mm
10.7mm,0.4213,100mm,142mm
10.75mm,0.4232,101mm,142mm
10.8mm,0.4252,103mm,142mm
11mm,0.4331,103mm,142mm
11.5mm,0.4528,106mm,142mm
11.7mm,0.4606,110mm,142mm
12mm,0.4724,111mm,151mm
12.5mm,0.4921,114mm,151mm
12.8mm,0.5039,114mm,151mm
13mm,0.5118,114mm,151mm
13.5mm,0.5315,122mm,160mm
14mm,0.5512,122mm,160mm
14.5mm,0.5709,122mm,169mm
15mm,0.5906,132mm,169mm
15.5mm,0.6102,132mm,178mm
16mm,0.6299,132mm,178mm
16.5mm,0.6496,132mm,184mm
17mm,0.6693,143mm,184mm
17.5mm,0.689,143mm,191mm
18mm,0.7087,145mm,191mm
18.5mm,0.7283,149mm,198mm
19mm,0.748,149mm,198mm
19.5mm,0.7677,154mm,205mm
20mm,0.7874,154mm,205mm
